COD_EMPRESA_CAMPO_ESCOLA	COD_CAMPO	SIG_CAMPO	NUM_CONTRATO	TERRA_MAR	DSC_SITUACAO_CAMPO	NOM_CORRENTE	NOM_CAMPO	IND_FLUIDO_PRINCIPAL	OPERADOR_CONTRATO	NOM_BACIA	DAT_DESCOBERTA	TERMINO_FASE_PRODUCAO	DAT_COMERCIALIDADE	DAT_INICIO_PRODUCAO	PREVISAO_TERMINO_PRODUCAO	NUM_GRAU_API_PETROLEO	VAL_PODER_CALORIFICO_GAS	MED_LAMINA_DAGUA	COD_REGIAO	NOM_ESTADO	DAT_ATIVACAO	DSC_DATUM	MED_AREA_CORRIGIDA	MED_PERIMETRO	NOM_TIPO_CONTRATO	DAT_RESILICAO_CONTRATUAL	COD_POCO_ORIGINARIO	COD_BLOCO_ORIGINARIO	PRORROGACAO_FASE_PRODUCAO	DAT_FIM_DESENVOLVIMENTO	SEQ_AREA	MARGINAL	TESTE_LONGA_DURACAO	SITUACAO_CAMPO
	4586	4252	48610009157200561	Mar	Plano de Avaliação (Teste de longa duração)		PA-6REPF6PRJS_1REPF11ARJS_1REPF12DRJS_BM-C-33_C-M-539		Equinor Energy do Brasil  Ltda.	Campos	12/01/2010 12:01:00									(NÃO CADASTRADO)					BID7				Não		799	NÃO	SIM	NÃO IDENTIFICADO
	4587	4253	480000038339718	Terra	Plano de Avaliação (Teste de longa duração)		PA-3BRSA1130RN-UPANEMA		Potiguar E&P S.A.	Potiguar	07/12/2012 12:12:00									(NÃO CADASTRADO)					BID0				Não		800	NÃO	NÃO	NÃO IDENTIFICADO
	4588	4254	480000035359700	Mar	Plano de Avaliação (Teste de longa duração)		PA-1BRSA1001ESS-GOLFINHO		Petróleo Brasileiro S.A.	Espírito Santo	31/01/2012 12:01:00									(NÃO CADASTRADO)					BR(3+2)				Não		801	NÃO	NÃO	NÃO IDENTIFICADO
	4589	4255	48610009210200524	Mar	Plano de Avaliação (Teste de longa duração)		PA-1BP7RJS_BM-C-34_C-M-471_C-M-473		BP Energy do Brasil Ltda.	Campos	11/04/2012 12:04:00									(NÃO CADASTRADO)					BID7				Não		802	NÃO	NÃO	NÃO IDENTIFICADO
	4590	4256	486100080282004	Mar	Plano de Avaliação (Teste de longa duração)		PA-1BRSA905RJS-S-M-172		Petróleo Brasileiro S.A.	Santos	16/08/2011 12:08:00									(NÃO CADASTRADO)					BID6				Não		803	NÃO	NÃO	NÃO IDENTIFICADO
	4591	4257	480000039009703	Mar	Plano de Avaliação (Teste de longa duração)		PAD-6BRSA770D-RJS_MARLIM_VOADOR		Petróleo Brasileiro S.A.	Campos	30/06/2010 12:06:00									(NÃO CADASTRADO)					BID0				Não		804	NÃO	NÃO	NÃO IDENTIFICADO
	4592	4258	486100107282001	Mar	Plano de Avaliação (Teste de longa duração)		PA-1BRSA1080CES-BM-CE-2		Petróleo Brasileiro S.A.	Ceará	01/08/2012 12:08:00									(NÃO CADASTRADO)					BID3				Não		805	NÃO	NÃO	NÃO IDENTIFICADO
	4594	4260	486100080222004	Mar	Plano de Avaliação (Teste de longa duração)		PA-1BRSA1088SES-SEAL-M-499		Petróleo Brasileiro S.A.	Sergipe	23/08/2012 12:08:00									(NÃO CADASTRADO)					BID6				Não		807	NÃO	SIM	NÃO IDENTIFICADO
	4595	4261	486100079792004	Mar	Plano de Avaliação (Teste de longa duração)		PA-1BRSA936DESS-BM-ES-23		Petróleo Brasileiro S.A.	Espírito Santo	27/06/2011 12:06:00									(NÃO CADASTRADO)					BID6				Não		808	NÃO	SIM	NÃO IDENTIFICADO
	4596	4262	486100080232004	Mar	Plano de Avaliação (Teste de longa duração)		PA-1BRSA1131SES-SEAL-M-569		Petróleo Brasileiro S.A.	Sergipe	27/02/2013 12:02:00									(NÃO CADASTRADO)					BID6				Não		809	NÃO	NÃO	NÃO IDENTIFICADO
	4597	4263	486100080232004	Mar	Plano de Avaliação (Teste de longa duração)		PA-1BRSA1104SES_SEAL-M-349		Petróleo Brasileiro S.A.	Sergipe	06/12/2012 12:12:00									(NÃO CADASTRADO)					BID6				Não		810	NÃO	NÃO	NÃO IDENTIFICADO
	4599	4265	480000037929724	Terra	Plano de Avaliação (Teste de longa duração)		PA-3BRSA1193RN-CANTO DO AMARO		Petróleo Brasileiro S.A.	Potiguar	04/09/2013 12:09:00									(NÃO CADASTRADO)					BID0				Não		812	NÃO	NÃO	NÃO IDENTIFICADO
	4600	4266	480000037939797	Terra	Plano de Avaliação (Teste de longa duração)		PA-3BRSA1200RN-ESTREITO		Petróleo Brasileiro S.A.	Potiguar	05/08/2013 12:08:00									(NÃO CADASTRADO)					BID0				Não		813	NÃO	NÃO	NÃO IDENTIFICADO
	4601	4267	486100092182002	Terra e Mar	Plano de Avaliação (Teste de longa duração)		PA-1BRSA962RNS-BM-POT-11		Petróleo Brasileiro S.A.	Potiguar	02/02/2012 12:02:00									(NÃO CADASTRADO)					BID4				Não		814	NÃO	NÃO	NÃO IDENTIFICADO
	4602	4268		Terra	Plano de Avaliação (Teste de longa duração)		PA-3BRSA1199RN-CANTO DO AMARO			Potiguar	27/09/2013 12:09:00									(NÃO CADASTRADO)									Não		815	NÃO	NÃO	NÃO IDENTIFICADO
	4603	4269	486100080222004	Mar	Plano de Avaliação (Teste de longa duração)		PA-1BRSA1108SES_SEAL-M-424		Petróleo Brasileiro S.A.	Sergipe	04/12/2012 12:12:00									(NÃO CADASTRADO)					BID6				Não		816	NÃO	SIM	NÃO IDENTIFICADO
	4604	4270	486100080232004	Mar	Plano de Avaliação (Teste de longa duração)		PA-1BRSA1022SES_BM-SEAL-4		Petróleo Brasileiro S.A.	Sergipe	12/06/2012 12:06:00									(NÃO CADASTRADO)					BID6				Não		817	NÃO	SIM	NÃO IDENTIFICADO
	4606	4272	48610001378200834	Mar	Plano de Avaliação (Teste de longa duração)		PA-1KPGL1DSPS-S-M-1101		Karoon Petróleo e Gás Ltda.	Santos	14/06/2013 12:06:00									(NÃO CADASTRADO)					BID9				Não		819	NÃO	SIM	NÃO IDENTIFICADO
	4607	4273	48610001415200812	Terra	Plano de Avaliação (Teste de longa duração)		PA-1OGX107MA_PN-T-49_BT-PN-5		Eneva S.A.	Parnaíba	18/02/2013 12:02:00									(NÃO CADASTRADO)					BID9				Não		820	NÃO	NÃO	NÃO IDENTIFICADO
	4609	4275	48610009180200556	Mar	Plano de Avaliação (Teste de longa duração)		PA_1BRSA1063SPS_S-M-623		Petróleo Brasileiro S.A.	Santos	28/03/2013 12:03:00									(NÃO CADASTRADO)					BID7				Não		822	NÃO	SIM	NÃO IDENTIFICADO
	4610	4276	48610012913201005	Mar	Plano de Avaliação (Teste de longa duração)		PA-2ANP1RJS_FRANCO		Petróleo Brasileiro S.A.	Santos	01/03/2010 12:03:00									(NÃO CADASTRADO)					CO_2010				Não		823	NÃO	NÃO	NÃO IDENTIFICADO
	4613	4279	486100079772004	Mar	Plano de Avaliação (Teste de longa duração)		PA-1BRSA983ESS-ES-M-414		Petróleo Brasileiro S.A.	Espírito Santo	28/10/2011 12:10:00									(NÃO CADASTRADO)					BID6				Não		826	NÃO	SIM	NÃO IDENTIFICADO
	4618	4284	486100079782004A	Mar	Plano de Avaliação (Teste de longa duração)		PA-1BRSA1143DESS-ES-M-527		Petróleo Brasileiro S.A.	Espírito Santo	25/01/2013 12:01:00									(NÃO CADASTRADO)					BID6				Não		831	NÃO	NÃO	NÃO IDENTIFICADO
	4619	4285	48610009184200534	Mar	Plano de Avaliação (Teste de longa duração)		PA-1SHEL23RJS_S-M-518_BM-S-54		Shell Brasil Petróleo Ltda.	Santos	27/09/2010 12:09:00									(NÃO CADASTRADO)					BID7				Não		832	NÃO	NÃO	NÃO IDENTIFICADO
	4620	4286	486100092142002	Mar	Plano de Avaliação (Teste de longa duração)		PA-1BRSA958ESS_BM_C_25		Petróleo Brasileiro S.A.	Campos	20/11/2011 12:11:00									(NÃO CADASTRADO)					BID4				Não		833	NÃO	NÃO	NÃO IDENTIFICADO
	4621	4290	486100080182004	Mar	Plano de Avaliação (Teste de longa duração)		PA-1BRSA1115SPS-S-M-239		Petróleo Brasileiro S.A.	Santos	14/08/2013 12:08:00									(NÃO CADASTRADO)					BID6				Não		834	NÃO	NÃO	NÃO IDENTIFICADO
	4624	4293	48610009184200534	Mar	Plano de Avaliação (Teste de longa duração)		PA-1SHEL23RJS_S-M-518_BM-S-54_EP		Shell Brasil Petróleo Ltda.	Santos	27/09/2010 12:09:00									(NÃO CADASTRADO)					BID7				Não		835	NÃO	SIM	NÃO IDENTIFICADO
	4626	4296	48610001418200848	Terra	Plano de Avaliação (Teste de longa duração)		PA-1OGX121MA_PN-T-68_BT-PN-8_PN-T-67_BT-PN-7		Eneva S.A.	Parnaíba	22/01/2014 12:01:00									(NÃO CADASTRADO)					BID9				Não		837	NÃO	SIM	NÃO IDENTIFICADO
	4628	4298	48610001417200801	Terra	Plano de Avaliação (Teste de longa duração)		PA-1OGX102MA_PN-T-67_BT-PN-7		Eneva S.A.	Parnaíba	09/01/2013 12:01:00									(NÃO CADASTRADO)					BID9				Não		839	NÃO	NÃO	NÃO IDENTIFICADO
	4631	4301	48610001414200860	Terra	Plano de Avaliação (Teste de longa duração)		PA-1OGX115MA_BT-PN-4_PN-T-48_1OGX59MA_BT-PN-5_PN-T-49		Eneva S.A.	Parnaíba	13/08/2013 12:08:00									(NÃO CADASTRADO)					BID9				Não		842	NÃO	NÃO	NÃO IDENTIFICADO
	4632	4302	48610001420200817	Terra	Plano de Avaliação (Teste de longa duração)		PA-1OGX77MA_1OGX82MA_1OGX122MA_PN-T-85_BT-PN-10		Parnaíba Gás Natural S.A.	Parnaíba	20/02/2014 12:02:00									(NÃO CADASTRADO)					BID9				Não		843	NÃO	NÃO	NÃO IDENTIFICADO
	4633	4304	486100095002003	Mar	Plano de Avaliação (Teste de longa duração)		PA-1BRSA921RJS_BM-C-27_C-M-122_C-M-145_C-M-146		Petróleo Brasileiro S.A.	Campos	24/06/2011 12:06:00									(NÃO CADASTRADO)					BID5				Não		844	NÃO	NÃO	NÃO IDENTIFICADO
	4634	4305	48610001427200839A	Terra	Plano de Avaliação (Teste de longa duração)		Pad 1-GTE-1-BA, 1-GTE-5HP-BA, 1-GTE-6HP-BA, 1-GTE-8DP-BA		Maha Energy Brasil Ltda.	Recôncavo	21/11/2011 12:11:00									(NÃO CADASTRADO)					BID9				Não		845	NÃO	SIM	NÃO IDENTIFICADO
