SEQ_AREA,Área,SEQ_AREA,NOM_CAMPO
4170,ABALONE,505,ABALONE
4634,ACAJÁ-BURIZINHO,502,ACAJÁ-BURIZINHO
4456,ACAUÃ,445,ACAUÃ
4302,ALBATROZ,586,ALBATROZ
4125,ANAMBÉ,443,ANAMBÉ
4462,ANDORINHA,580,ANDORINHA
4464,ANGICO,76,ANGICO
4467,ARAÇARI,565,ARAÇARI
4638,ARAÇÁS LESTE,552,ARAÇÁS LESTE
4029,ARACUÃ,636,ARACUÃ
4126,ARAPAÇU,759,ARAPAÇU
4096,ARARA AZUL,711,ARARA AZUL
4097,ARARACANGA,452,ARARACANGA
4174,ARGONAUTA,475,ARGONAUTA
4468,ARRIBAÇÃ,498,ARRIBAÇÃ
4469,ASA BRANCA,85,ASA BRANCA
3941,ATAPU,862,ATAPU
3940,ATLANTA,467,ATLANTA
471662,BACALHAU,34698,BACALHAU
4177,BALEIA ANÃ,441,BALEIA ANÃ
4178,BALEIA AZUL,440,BALEIA AZUL
4179,BALEIA FRANCA,366,BALEIA FRANCA
4475,BARRINHA SUDOESTE,696,BARRINHA SUDOESTE
3943,BAÚNA,633,BAÚNA
3942,BAUNA SUL,727,BAUNA SUL
4640,BEIJA-FLOR,97,BEIJA-FLOR
4306,BEM-TE-VI,666,Bem-te-vi
4305,BIGUÁ,584,BIGUÁ
4182,BIJUPIRÁ,103,BIJUPIRÁ
4477,BIQUARA,101,BIQUARA
4644,BOM LUGAR,573,BOM LUGAR
3945,BÚZIOS,811,BÚZIOS
4481,CABOCLINHO,746,CABOCLINHO
89960,CABURÉ,34128,CABURÉ
234510,CABURÉ LESTE,34406,Caburé Leste
4315,CAÇÃO,113,CAÇÃO
4184,CACHALOTE,130,CACHALOTE
4308,CAMARUPIM,545,CAMARUPIM
4309,CAMARUPIM NORTE,631,CAMARUPIM NORTE
4311,CANAPU,458,CANAPU
4655,CANÁRIO,456,CANÁRIO
139133,CANÁRIO DA TERRA,34095,Canário da Terra
265952,CANÁRIO DA TERRA SUL,34446,Canário da Terra Sul
4312,CANCÃ,533,CANCÃ
144136,CANCÃ LESTE,34083,Cancã Leste
4035,CARAPITANGA,618,CARAPITANGA
4314,CARAPÓ,496,CARAPÓ
4187,CARATAÍ,541,CARATAÍ
4485,CARCARÁ,627,CARCARÁ
4486,CARDEAL,579,CARDEAL
4657,CARDEAL AMARELO,873,CARDEAL AMARELO
4659,CARDEAL DO NORDESTE,874,CARDEAL DO NORDESTE
4660,CARDEAL-BA,124,CARDEAL-BA
4038,CARMÓPOLIS NOROESTE,699,CARMÓPOLIS NOROESTE
4039,CARMÓPOLIS SUDOESTE,700,CARMÓPOLIS SUDOESTE
4189,CATUÁ,455,CATUÁ
3948,CAVALO-MARINHO,151,CAVALO-MARINHO
4190,CAXAREU,542,CAXAREU
4489,CHAUÁ,630,CHAUÁ
4490,CHOPIM,582,CHOPIM
4041,CIDADE DE ARACAJU,560,CIDADE DE ARACAJU
4127,CIDADE DE SEBASTIÃO FERREIRA,148,CIDADE DE SEBASTIÃO FERREIRA
4491,CIOBA,131,CIOBA
4492,COLIBRI,527,COLIBRI
4493,CONCRIZ,685,CONCRIZ
4129,COQUEIRO SECO,147,COQUEIRO SECO
4320,CÓRREGO CEDRO NORTE SUL,632,CÓRREGO CEDRO NORTE SUL
4317,CORRUIRA,639,CORRUIRA
4318,CREJOÁ,601,CREJOÁ
4494,DENTÃO,154,DENTÃO
4130,FAZENDA GUINDASTE,176,FAZENDA GUINDASTE
4131,FAZENDA PAU BRASIL,184,FAZENDA PAU BRASIL
3844,FAZENDA RIO BRANCO,187,FAZENDA RIO BRANCO
3845,FAZENDA SANTO ESTEVÃO,189,FAZENDA SANTO ESTEVÃO
4332,FAZENDA SÃO RAFAEL,192,FAZENDA SÃO RAFAEL
4047,FOZ DO VAZA-BARRIS,549,FOZ DO VAZA-BARRIS
4197,FRADE,186,FRADE
4333,GAIVOTA,661,GAIVOTA
4503,GALO DE CAMPINA,714,GALO DE CAMPINA
4334,GARÇA BRANCA (LICITADO),655,GARÇA BRANCA (Licitado)
4435,GAVIÃO AZUL,742,GAVIÃO AZUL
4436,GAVIÃO BRANCO,771,GAVIÃO BRANCO
4437,GAVIÃO BRANCO NORTE,830,GAVIÃO BRANCO NORTE
4438,GAVIÃO BRANCO OESTE,777,GAVIÃO BRANCO OESTE
4439,GAVIÃO BRANCO SUDESTE,836,GAVIÃO BRANCO SUDESTE
4441,GAVIÃO CABOCLO,821,GAVIÃO CABOCLO
4451,GAVIÃO CARIJÓ,840,GAVIÃO CARIJÓ
4443,GAVIÃO PRETO,838,GAVIÃO PRETO
4444,GAVIÃO REAL,743,GAVIÃO REAL
4450,GAVIÃO TESOURA,841,Gavião Tesoura
4445,GAVIÃO VERMELHO,875,GAVIÃO VERMELHO
413896,GOIÁ,34630,GOIÁ
413895,GOIÁ SUL,34629,GOIÁ SUL
4335,GOLFINHO,436,GOLFINHO
4504,GRAÚNA,745,GRAÚNA
3951,GUAIAMÁ,587,GUAIAMÁ
4505,GUAIUBA,203,GUAIUBA
4506,GUAJÁ,197,GUAJÁ
4508,GUAMARÉ SUDESTE,657,GUAMARÉ SUDESTE
3850,GUANAMBI,553,GUANAMBI
4049,GUARÁ,677,GUARÁ
3851,GURIATÃ,880,GURIATÃ
282614,GURIATÃ SUL,34451,GURIATÃ SUL
4336,GURIRI,202,GURIRI
4050,HARPIA,622,HARPIA
4337,INHAMBU,520,INHAMBU
251948,IRAÚNA,34433,IRAÚNA
4511,IRERÊ,537,IRERÊ
3952,ITAPU,828,ITAPU
4513,JAÇANÃ,538,JAÇANÃ
