NOM_CAMPO,NOM_ESTADO,NUM_CONTRATO
ABALONE,Espírito Santo,480000035529711
ACAJÁ (Licitado),Bahia,""
ACAJÁ-BURIZINHO,Bahia,486100092312002
ACAUÃ,Rio Grande do Norte,486100039012000
ACAUÃ LESTE,Rio Grande do Norte,486100039012000A
ÁGUA GRANDE,Bahia,480000036299743
AGUILHADA,Sergipe,480000038429709
AGULHA,Rio Grande do Norte,480000037799766
AIP ABABL_ABS-140_AB-210,(NÃO CADASTRADO),""
AIP ABABL_CRT200,(NÃO CADASTRADO),""
AIP ABABL_MRL430_MRL700_EN100_MRL200,(NÃO CADASTRADO),""
AIP ATAPU OESTE ATAPU NORTE ATAPU,(NÃO CADASTRADO),""
AIP CAMARUPIM E CAMARUPIM NORTE,(NÃO CADASTRADO),""
AIP DE SÉPIA E SÉPIA LESTE,(NÃO CADASTRADO),""
"AIP MARLIM, VOADOR E MARLIM NORTE",(NÃO CADASTRADO),""
AIP SAPINHOÁ E ENTORNO DE SAPINHOÁ,(NÃO CADASTRADO),""
"AIP TUPI, SUL DE TUPI E TUPI LESTE",Rio de Janeiro,""
AIP TVD E TVSW,(NÃO CADASTRADO),""
ALAGAMAR,Sergipe,""
ALBACORA,Rio de Janeiro,480000037039702
ALBACORA LESTE,Rio de Janeiro,480000038959767
ALBATROZ,Espírito Santo,486100079852004
ALTO ALEGRE,Rio Grande do Norte,480000037839733
ALTO ALEGRE,Rio Grande do Norte,48610002004201646
ALTO DO RODRIGUES,Rio Grande do Norte,480000037849704
ANAMBÉ,Alagoas,486100038922000
AnC_ARGONAUTA_ME1,(NÃO CADASTRADO),""
AnC_BRAVA,Rio de Janeiro,48610003909201803
AnC_NORTE_ATAPU,Rio de Janeiro,48610003512201722
AnC_SAPINHOÁ_BVE,(NÃO CADASTRADO),""
AnC_TARTARUGA VERDE,Rio de Janeiro,48610001047201442
AnC_TUPI,Rio de Janeiro,48610006369201135
ANDORINHA,Rio Grande do Norte,486100079942004
ANDORINHA SUL,Rio Grande do Norte,486100080022004
ANEQUIM,Rio de Janeiro,480000037309777
ANGELIM,Sergipe,480000038439763
ANGICO,Rio Grande do Norte,480000034849762
APRAIÚS,Bahia,480000036309722
ARABAIANA,Rio Grande do Norte,480000039139747
ARAÇARI,Rio Grande do Norte,486100094872003
ARAÇÁS,Bahia,480000036319795
ARAÇÁS LESTE,Bahia,""
ARAÇÁS LESTE,Bahia,48610007068201714
ARAÇÁS LESTE,Bahia,48610009289200593
ARACUÃ,Sergipe,48610009202200588
ARAPAÇU,Alagoas,48610001547200917
ARARA AZUL,Amazonas,48610009146200581
ARARACANGA,Amazonas,480000034559764
ARATU,Bahia,480000036329758
