COD_EMPRESA	NOM_FANTASIA_EMPRESA	NOM_RAZAO_SOCIAL	COD_GRUPO	NOM_GRUPO	NUM_CNPJ
22	Large	Laboratory of Regional Geodynamics Limited	0	(grupo não informado)	
24	Nissho Iwai/Inpex	Nissho Iwai/Inpex	0	(grupo não informado)	
35	Spectrum	Spectrum Energy and Information Technology Limited	0	(grupo não informado)	
88	Baker Corporation	Baker Hughes Corporation	0	(grupo não informado)	
89	Baker Incorporated	Baker Hughes Incorporated	0	(grupo não informado)	
97	CPC	Chinese Petroleum Corporation	0	(grupo não informado)	
98	CMS	CMS Oil and Gas Company	0	(grupo não informado)	
117	Fay Richwhite	Fay Richwhite Holdings Ltd	0	(grupo não informado)	
119	Hunt	Hunt Oil Company	0	(grupo não informado)	
121	IMDL	International Marketing and Distribution Ltd.	0	(grupo não informado)	
123	KNOC	Korea National Oil Corporation	0	(grupo não informado)	
124	Lasmo	Lasmo plc	0	(grupo não informado)	
127	Mineração Caraíba	Mineração Caraíba S.A.	0	(grupo não informado)	
136	Pecom	Pecom Energia S.A.	0	(grupo não informado)	
138	PetroFina	PetroFina S.A.	0	(grupo não informado)	
141	Pluspetrol	Pluspetrol Resources Corporation	0	(grupo não informado)	
142	Quinal	Quinal	0	(grupo não informado)	
146	Rio Petróleo Rio	Rio Petróleo Rio Ltda.	0	(grupo não informado)	
150	Seagull	Seagull Energy Corporation	0	(grupo não informado)	
153	Sun	Sun Resources N.L.	0	(grupo não informado)	
160	Triton	Triton Energy Limited	0	(grupo não informado)	
163	USX	USX Corporation	0	(grupo não informado)	
164	Veba	Veba Oil & Gas GmbH	0	(grupo não informado)	
165	Vintage	Vintage Petroleum Inc.	0	(grupo não informado)	
236	TRANSOCEAN	TRANSOCEAN	0	(grupo não informado)	
237	NOBLE DO BRASIL LTDA	NOBLE DRILLING	0	(grupo não informado)	
239	R & B  FALCON	R & B  FALCON	0	(grupo não informado)	
240	DOLPHIN DRILLING	DOLPHIN DRILLING	0	(grupo não informado)	
241	LOUSIANA VENTURA	LOUSIANA VENTURA	0	(grupo não informado)	
242	PRIDE DO BRASIL LTDA	PRIDE DO BRASIL Ltda.	0	(grupo não informado)	
243	UNAP	UNAP	0	(grupo não informado)	
244	SEPE	SEPE	0	(grupo não informado)	
245	STAR I.D./Q. GALVÃO	STAR INT. DRIL./Q. GALVÃO	0	(grupo não informado)	
247	TURASORIA/SCHAHIN	TURASORIA/SCHAHIN	0	(grupo não informado)	
248	SEAPOS B. V.	SEAPOS B. V.	0	(grupo não informado)	
249	SAIPEM	SAIPEM DO BRASIL Ltda.	0	(grupo não informado)	
250	SCHAIN	SCHAIN	0	(grupo não informado)	
251	GMDC DO BRASIL LTDA	GMDC DO BRASIL Ltda.	0	(grupo não informado)	
252	BRASDRILL	BRASDRILL	0	(grupo não informado)	
253	TRANSOCEAN SEDCO FOR	TRANSOCEAN SEDCO FOREX	0	(grupo não informado)	
254	ENGEDRILL	ENGEDRILL	0	(grupo não informado)	
255	HIDROCON	HIDROCON	0	(grupo não informado)	
265	Thales	Thales Geosolutions (Brasil) Ltda.	0	(grupo não informado)	
266	Rio Tinto	Rio Tinto Desenvolvimentos Minerais  Ltda.	0	(grupo não informado)	
268	Gaia Processamento	Gaia Processamento e Gerencia de Dados Ltda.	0	(grupo não informado)	
270	MPBA	Ministério Público do Estado da Bahia	0	(grupo não informado)	
272	UFPR	Universidade Federal do Paraná - UFPR	0	(grupo não informado)	
273	UFPA	Universidade Federal do Pará - UFPA	0	(grupo não informado)	
275	Coastal BCAM-2	Costal BCAM-2 Ltda.	0	(grupo não informado)	
278	JNOC	Japan National Oil Corporation	0	(grupo não informado)	
279	Falconbridge	Falconbridge	0	(grupo não informado)	
281	WMC	Western Mining Company	0	(grupo não informado)	
