SEQ_AREA;Área;VAL_NACIONAL;DSC_FASE;tem correspondente?
2461;A;54.458.888.199.999.900;Desenvolvimento;Não
2461;A;189.687.813.775.748;Produção;Não
1070;AB;5.062.360.366.069.990;Desenvolvimento;Não
1070;AB;1.904.102.804.452.690;Produção;Não
4170;ABALONE;24.502.653.737.225.200;Desenvolvimento;Sim
1071;ABL;5.900.131.341.349.990;Desenvolvimento;Não
1071;ABL;10.567.327.628.090.900;Produção;Não
4634;ACAJÁ-BURIZINHO;3.960.808.479.195.600;Produção;Sim
4456;ACAUÃ;1.678.966.525.999.990;Desenvolvimento;Sim
4456;ACAUÃ;7.152.355.146.097.600;Produção;Sim
4457;ACAUÃ LESTE;185042.2;Desenvolvimento;Não
2106;AG;5.434.360.843.000.000;Desenvolvimento;Não
2106;AG;21.704.415.812.419.100;Produção;Não
2462;AG;6.759.360.986.099.990;Desenvolvimento;Não
2462;AG;1.508.026.571.468.510;Produção;Não
3466;AG;21.760.213.700.000.000;Desenvolvimento;Não
3466;AG;38.493.235.070.279.700;Produção;Não
4302;ALBATROZ;28440000;Desenvolvimento;Sim
4302;ALBATROZ;24000;Produção;Sim
3468;AN;16.418.347.440.000.000;Desenvolvimento;Não
3468;AN;14.578.633.915.467.300;Produção;Não
4125;ANAMBÉ;34.663.689.589.999.900;Desenvolvimento;Sim
4125;ANAMBÉ;4.773.548.722.930.120;Produção;Sim
4462;ANDORINHA;37.891.660.738.426.000;Desenvolvimento;Sim
4462;ANDORINHA;17.599.815.059.999.900;Produção;Sim
4464;ANGICO;9029214.23;Desenvolvimento;Sim
4464;ANGICO;2.726.678.923.943.700;Produção;Sim
1072;ANQ;4.384.885.093.000.000;Desenvolvimento;Não
1072;ANQ;5.079.368.330.822.250;Produção;Não
2463;APR;834.075.526.399.999;Desenvolvimento;Não
2463;APR;356.622.364.028.775;Produção;Não
2464;AR;19.363.848.350.600.000;Desenvolvimento;Não
2464;AR;17.593.012.437.629.900;Produção;Não
4467;ARAÇARI;93672000;Desenvolvimento;Sim
4467;ARAÇARI;7.721.607.415.455.400;Produção;Sim
4638;ARAÇÁS LESTE;20.925.550.799.999.900;Desenvolvimento;Sim
4029;ARACUÃ;91232440;Desenvolvimento;Sim
4029;ARACUÃ;486.836.499.513;Produção;Sim
4126;ARAPAÇU;200679578.91;Desenvolvimento;Sim
4126;ARAPAÇU;15.427.832.939.999.900;Produção;Sim
4096;ARARA AZUL;2.903.597.519.709.990;Desenvolvimento;Sim
4096;ARARA AZUL;46660943;Produção;Sim
4097;ARARACANGA;2.909.455.670.500.000;Desenvolvimento;Sim
4097;ARARACANGA;109020122.22;Produção;Sim
2109;ARB;37469795.4;Desenvolvimento;Não
2109;ARB;5.701.683.607.959.680;Produção;Não
2110;ARG;8.488.783.884.800.000;Desenvolvimento;Não
2110;ARG;12.299.594.924.868.100;Produção;Não
4174;ARGONAUTA;19.889.871.500.053.500;Desenvolvimento;Sim
3469;ARI;3608168.96;Desenvolvimento;Não
