COD_CAMPO;NOM_CAMPO
10;ANGICO
19;ASA BRANCA
31;BEIJA-FLOR
35;BIQUARA
37;BIJUPIRÁ
48;CAÇÃO
59;CARDEAL-BA
65;CACHALOTE
66;CIOBA
83;COQUEIRO SECO
84;CIDADE DE SEBASTIÃO FERREIRA
87;CAVALO-MARINHO
90;DENTÃO
112;FAZENDA GUINDASTE
120;FAZENDA PAU BRASIL
122;FRADE
123;FAZENDA RIO BRANCO
125;FAZENDA SANTO ESTEVÃO
128;FAZENDA SÃO RAFAEL
133;GUAJÁ
138;GURIRI
139;GUAIUBA
148;JEQUIÁ
149;JAPIIM
152;JUBARTE
155;LAGOA BONITA
161;LAGOA PARDA
162;LAGOA DO PAULO
164;LAGOA PACAS
165;LAGOA PARDA NORTE
181;MATO GROSSO
190;MANATI
194;Mosquito
205;NORTE DE PESCADA
206;OESTE DE UBARANA
208;PARU
236;RIO ITAÚNAS
247;RIO PRETO
259;TATUI
261;SANTANA
262;SALEMA
264;SARDINHA
265;SOCORRO
266;SUL DE CORURIPE
268;SOCORRO EXTENSÃO
270;SAUÍPE
273;SEBASTIÃO FERREIRA
277;SIRI
278;SÃO MATEUS
289;TARTARUGA
292;TABULEIRO DOS MARTINS
304;BALEIA FRANCA
322;LAGOSTA
379;PIRANEMA
381;MEXILHÃO
383;GOLFINHO
403;SALEMA BRANCA
423;JANDAIA
443;UIRAPURU
463;BALEIA AZUL
464;BALEIA ANÃ
483;LAGOA DO PAULO NORTE
523;ANAMBÉ
563;ACAUÃ
583;POLVO
657;OSTRA
662;ARARACANGA
665;CATUÁ
666;CANÁRIO
669;CANAPU
673;LAGOA DO PAULO SUL
678;ATLANTA
679;NAUTILUS
681;XERELETE
682;TAMBUATÁ
686;ARGONAUTA
691;TAMBAÚ
693;MANGANGÁ
695;PEREGRINO
702;JOÃO DE BARRO
705;PAPA-TERRA
708;CARAPÓ
724;ARRIBAÇÃ
743;JACUTINGA
783;ACAJÁ-BURIZINHO
803;TANGARÁ
823;ABALONE
843;URUGUÁ
844;PIRAPITANGA
864;PINAÚNA
875;INHAMBU
876;SAIRA
878;PITIGUARI
883;PIRACUCÁ
923;COLIBRI
983;JURITI
1003;SERIEMA
1023;TABUIAIÁ
1043;CANCÃ
1063;TUPI
1103;IRERÊ
1123;JAÇANÃ
1144;PERIQUITO
